17 Nov 2014,
Frequency [MHz],Loss [dB]
1,0.0520408003
12.43,0.4059952115
23.85,0.6329462586
35.28,0.6831664079
46.71,0.754406096
58.14,0.8481705624
69.56,0.9429906744
80.99,1.0264853036
92.42,1.059906624
103.84,1.1516006016
115.27,1.2206927848
126.7,1.2689730739
138.13,1.3226422223
149.55,1.3741710192
160.98,1.4307228575
172.41,1.485775636
183.83,1.5069898283
195.26,1.591141904
206.69,1.6209584947
218.12,1.6748073403
229.54,1.6733991974
240.97,1.7352936944
252.4,1.8119655719
263.82,1.8290373365
275.25,1.8896339414
286.68,1.8949870842
298.11,1.9329152295
309.53,2.0049046828
320.96,2.0476622085
332.39,2.1053690696
343.81,2.1251589838
355.24,2.1554635757
366.67,2.2533775473
378.1,2.2659443638
389.52,2.3028828157
400.95,2.3558078093
412.38,2.3749556254
423.8,2.4761426304
435.23,2.487549511
446.66,2.4841878275
458.09,2.5531053925
469.51,2.5810133507
480.94,2.648587138
492.37,2.6317785904
503.79,2.7510505689
515.22,2.7812887508
526.65,2.812666105
538.08,2.807417165
549.5,2.8438207078
560.93,2.8551175529
572.36,2.8875326455
583.78,2.9418693446
595.21,2.9854569439
606.64,2.9770740399
618.07,2.9570707754
629.49,2.9870389305
640.92,3.0008821606
652.35,3.0412045946
663.77,3.0046667655
675.2,3.1020637015
686.63,3.1112132878
698.06,3.1547600924
709.48,3.1520172125
720.91,3.1982847107
732.34,3.2436044322
743.76,3.2150666324
755.19,3.3258414245
766.62,3.3553396695
778.05,3.4088223582
789.47,3.438658317
800.9,3.4958409075
812.33,3.5169529711
823.75,3.5766846146
835.18,3.6631858407
846.61,3.6363239343
858.04,3.6138286876
869.46,3.6372443475
880.89,3.6643519556
892.32,3.7210977611
903.74,3.792672064
915.17,3.8003047005
926.6,3.8243732902
938.03,3.8329672134
949.45,3.8693361025
960.88,3.9087729759
972.31,3.9895113847
983.73,3.9844509411
995.16,4.0252811302
1006.59,4.0448497751
1018.02,4.0788484991
1029.44,4.0932519209
1040.87,4.141691309
1052.3,4.1449763358
1063.72,4.168451763
1075.15,4.2400584017
1086.58,4.2308776791
1098.01,4.2381405927
1109.43,4.2988828931
1120.86,4.329926489
1132.29,4.3623486897
1143.71,4.3782199491
1155.14,4.4015177513
1166.57,4.4779113407
1178,4.4727682906
1189.42,4.5103101298
1200.85,4.5045931913
1212.28,4.6450275405
1223.7,4.6519337282
1235.13,4.6776377208
1246.56,5.0614100226
1257.99,4.743159686
1269.41,4.8061748508
1280.84,4.7765891471
1292.27,4.7716864804
1303.69,4.8029845026
1315.12,4.8153031141
1326.55,4.8171243268
1337.98,4.8542484784
1349.4,4.9398437619
1360.83,5.0099895357
1372.26,4.9714966033
1383.68,5.2948607141
1395.11,5.0283573148
1406.54,5.0185915604
1417.97,5.0979022426
1429.39,5.0819408465
1440.82,5.0938690224
1452.25,5.1423162497
1463.67,5.2038176713
1475.1,5.2050351426
1486.53,5.2515934311
1497.96,5.2312684006
1509.38,5.2948833022
1520.81,5.2820630093
1532.24,5.3581984711
1543.66,5.3431875772
1555.09,5.3785866243
1566.52,5.38166733
1577.95,5.4354770771
1589.37,5.4199800804
1600.8,5.4411688473
1612.23,5.4971184677
1623.65,5.5260486596
1635.08,5.5428456026
1646.51,5.619422378
1657.94,5.5755437527
1669.36,5.7398636142
1680.79,5.6611293434
1692.22,5.6590081889
1703.64,5.6617038304
1715.07,5.7463421409
1726.5,5.7714544996
1737.93,5.7457396627
1749.35,5.8008328045
1760.78,5.8671563227
1772.21,5.8753894253
1783.63,5.9007580703
1795.06,5.9644018756
1806.49,6.0030861915
1817.92,6.0329901045
1829.34,6.002880228
1840.77,6.0283765043
1852.2,6.0540382845
1863.62,6.0435302022
1875.05,6.0797129882
1886.48,6.113046189
1897.91,6.1336675258
1909.33,6.1571345355
1920.76,6.2115193409
1932.19,6.2361874956
1943.61,6.2754235732
1955.04,6.278778573
1966.47,6.2954418643
1977.9,6.3474903751
1989.32,6.3397630067
2000.75,6.3040209996
2012.18,6.3921799589
2023.6,6.4152806663
2035.03,6.4255507608
2046.46,6.4349730864
2057.89,6.5411966806
2069.31,6.5067679445
2080.74,6.5297693897
2092.17,6.5666472224
2103.59,6.5934368898
2115.02,6.6154974267
2126.45,6.6057787754
2137.88,6.6317555549
2149.3,6.66204399
2160.73,6.6593767505
2172.16,6.695748801
2183.58,6.7598907472
2195.01,6.7856560551
2206.44,6.7623662602
2217.87,6.8460340602
2229.29,6.9310238219
2240.72,6.847374225
2252.15,6.9250378396
2263.57,6.9297431125
2275,6.9906327167
2286.43,6.9495121248
2297.86,6.9984934268
2309.28,7.0142305859
2320.71,7.0422885157
2332.14,7.0720186327
