21-Nov-13,
Frequency [Hz],Gain [dB]
1000000,11.06017436
12427142.86,27.00801991
23854285.71,31.53534344
35281428.57,33.2983847
46708571.43,34.10059932
58135714.29,34.54171697
69562857.14,34.76572651
80990000,34.95605226
92417142.86,35.06837464
103844285.7,35.13002396
115271428.6,35.19344886
126698571.4,35.19189735
138125714.3,35.20571999
149552857.1,35.23847264
160980000,35.24587691
172407142.9,35.28190267
183834285.7,35.30089192
195261428.6,35.31501864
206688571.4,35.32917029
218115714.3,35.37340195
229542857.1,35.34773538
240970000,35.38096404
252397142.9,35.3131162
263824285.7,35.34181606
275251428.6,35.34756622
286678571.4,35.32367785
298105714.3,35.34124947
309532857.1,35.30392575
320960000,35.34357877
332387142.9,35.38768413
343814285.7,35.34738864
355241428.6,35.33450239
366668571.4,35.32510177
378095714.3,35.35720136
389522857.1,35.33123341
400950000,35.33265847
412377142.9,35.34886546
423804285.7,35.34440189
435231428.6,35.31444216
446658571.4,35.3185886
458085714.3,35.36702063
469512857.1,35.34346351
480940000,35.36713816
492367142.9,35.31273805
503794285.7,35.3303684
515221428.6,35.35071114
526648571.4,35.33021365
538075714.3,35.29895765
549502857.1,35.33032277
560930000,35.31439451
572357142.9,35.32284102
583784285.7,35.32971057
595211428.6,35.34753143
606638571.4,35.38573037
618065714.3,35.39229051
629492857.1,35.35158301
640920000,35.41278032
652347142.9,35.41318627
663774285.7,35.39726858
675201428.6,35.39521438
686628571.4,35.38807681
698055714.3,35.36361096
709482857.1,35.39025789
720910000,35.32033827
732337142.9,35.35827492
743764285.7,35.32913242
755191428.6,35.36299032
766618571.4,35.35889206
778045714.3,35.32131557
789472857.1,35.32110447
800900000,35.31860332
812327142.9,35.28220811
823754285.7,35.31355626
835181428.6,35.32289346
846608571.4,35.32702899
858035714.3,35.31410767
869462857.1,35.3413301
880890000,35.2930016
892317142.9,35.34632614
903744285.7,35.36644476
915171428.6,35.32808148
926598571.4,35.30933458
938025714.3,35.29852194
949452857.1,35.30586429
960880000,35.26784865
972307142.9,35.26924042
983734285.7,35.27254374
995161428.6,35.24581219
1006588571,35.27707208
1018015714,35.27277686
1029442857,35.25746062
1040870000,35.29030478
1052297143,35.28194526
1063724286,35.25440361
1075151429,35.26654986
1086578571,35.28088145
1098005714,35.29389009
1109432857,35.28812198
1120860000,35.26892075
1132287143,35.27664724
1143714286,35.27012795
1155141429,35.26554412
1166568571,35.26222494
1177995714,35.26005322
1189422857,35.24885244
1200850000,35.26341497
1212277143,35.24631627
1223704286,35.28086096
1235131429,35.24658262
1246558571,35.24256903
1257985714,35.24128129
1269412857,35.25452474
1280840000,35.24295375
1292267143,35.2621166
1303694286,35.25127704
1315121429,35.25791436
1326548571,35.2549096
1337975714,35.23311928
1349402857,35.24303716
1360830000,35.24711673
1372257143,35.25143402
1383684286,35.24386476
1395111429,35.2371395
1406538571,35.2475674
1417965714,35.27450703
1429392857,35.24214042
1440820000,35.25389553
1452247143,35.26185151
1463674286,35.26026994
1475101429,35.29779994
1486528571,35.27274738
1497955714,35.2955596
1509382857,35.30315343
1520810000,35.29744174
1532237143,35.309186
1543664286,35.31037363
1555091429,35.30534971
1566518571,35.27512935
1577945714,35.30664961
1589372857,35.29187092
1600800000,35.30750174
1612227143,35.33656612
1623654286,35.31073335
1635081429,35.32857131
1646508571,35.31653822
1657935714,35.35743572
1669362857,35.36332942
1680790000,35.35884844
1692217143,35.36630472
1703644286,35.36426192
1715071429,35.36789361
1726498571,35.35462668
1737925714,35.36493013
1749352857,35.40820484
1760780000,35.37646927
1772207143,35.36612462
1783634286,35.3853985
1795061429,35.37466399
1806488571,35.4108079
1817915714,35.41830895
1829342857,35.3974744
1840770000,35.41662342
1852197143,35.41139358
1863624286,35.43535081
1875051429,35.45307012
1886478571,35.45908901
1897905714,35.4566147
1909332857,35.46336018
1920760000,35.47814527
1932187143,35.4894156
1943614286,35.47351722
1955041429,35.4723435
1966468571,35.50605162
1977895714,35.52260312
1989322857,35.49305599
2000750000,35.54075471
2012177143,35.53154866
2023604286,35.52963033
2035031429,35.53005661
2046458571,35.54668354
2057885714,35.56146351
2069312857,35.55645823
2080740000,35.60470844
2092167143,35.57320977
2103594286,35.594276
2115021429,35.60391829
2126448571,35.61631335
2137875714,35.65746245
2149302857,35.6410573
2160730000,35.60888371
2172157143,35.63189368
2183584286,35.6350753
2195011429,35.65259842
2206438571,35.64196341
2217865714,35.68037545
2229292857,35.69183605
2240720000,35.70397405
2252147143,35.69415822
2263574286,35.691556
2275001429,35.73417716
2286428571,35.74185592
2297855714,35.76154375
2309282857,35.7449419
2320710000,35.76384053
2332137143,35.76022185
2343564286,35.75337038
2354991429,35.78619147
2366418571,35.78348655
2377845714,35.79524535
2389272857,35.80468931
2400700000,35.80209902
2412127143,35.79698536
2423554286,35.7998932
2434981429,35.85405886
2446408571,35.83026625
2457835714,35.85174621
2469262857,35.85372547
2480690000,35.82928143
2492117143,35.84508292
2503544286,35.85660595
2514971429,35.85175319
2526398571,35.87273901
2537825714,35.83936793
2549252857,35.8799713
2560680000,35.88028509
2572107143,35.91454429
2583534286,35.8975302
2594961429,35.89229816
2606388571,35.90359617
2617815714,35.91294958
2629242857,35.90278398
2640670000,35.89641336
2652097143,35.91762794
2663524286,35.93281719
2674951429,35.93614637
2686378571,35.96308597
2697805714,35.95679949
2709232857,35.92992753
2720660000,35.91921887
2732087143,35.9498556
2743514286,35.919817
2754941429,35.90116898
2766368571,35.92178122
2777795714,35.92067747
2789222857,35.93705362
2800650000,35.94870408
2812077143,35.92387397
2823504286,35.93351744
2834931429,35.94576542
2846358571,35.91070908
2857785714,35.92006693
2869212857,35.90869382
2880640000,35.90968232
2892067143,35.92625077
2903494286,35.90386761
2914921429,35.89258347
2926348571,35.88459109
2937775714,35.87206712
2949202857,35.88710085
2960630000,35.85220327
2972057143,35.85761879
2983484286,35.84113246
2994911429,35.83064973
