09-Jun-14,
Frequency [Hz],Gain [dB]
5.00E+07,4.15E+01
6.00E+07,4.15E+01
1.71E+08,4.15E+01
2.82E+08,4.18E+01
3.93E+08,4.17E+01
5.04E+08,4.19E+01
6.15E+08,4.19E+01
7.26E+08,4.18E+01
8.37E+08,4.19E+01
9.48E+08,4.18E+01
1.06E+09,4.18E+01
1.17E+09,4.18E+01
1.28E+09,4.17E+01
1.39E+09,4.16E+01
1.50E+09,4.16E+01
1.61E+09,4.15E+01
1.73E+09,4.14E+01
1.84E+09,4.13E+01
1.95E+09,4.13E+01
2.06E+09,4.12E+01
2.17E+09,4.11E+01
2.28E+09,4.10E+01
2.39E+09,4.10E+01
2.50E+09,4.09E+01
2.61E+09,4.08E+01
2.72E+09,4.07E+01
2.84E+09,4.07E+01
2.95E+09,4.06E+01
3.06E+09,4.05E+01
3.17E+09,4.04E+01
3.28E+09,4.03E+01
3.39E+09,4.04E+01
3.50E+09,4.04E+01
3.61E+09,4.03E+01
3.72E+09,4.04E+01
3.84E+09,4.04E+01
3.95E+09,4.04E+01
4.06E+09,4.06E+01
4.17E+09,4.05E+01
4.28E+09,4.08E+01
4.39E+09,4.08E+01
4.50E+09,4.09E+01
4.61E+09,4.10E+01
4.72E+09,4.11E+01
4.83E+09,4.13E+01
4.95E+09,4.12E+01
5.06E+09,4.15E+01
5.17E+09,4.15E+01
5.28E+09,4.14E+01
5.39E+09,4.15E+01
5.50E+09,4.15E+01
5.61E+09,4.15E+01
5.72E+09,4.15E+01
5.83E+09,4.14E+01
5.94E+09,4.14E+01
6.06E+09,4.12E+01
6.17E+09,4.11E+01
6.28E+09,4.09E+01
6.39E+09,4.07E+01
6.50E+09,4.05E+01
7.00E+09,4.05E+01
