21-Nov-13,,,,
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
50000000,5.16,5.16,5,5
70000000,5.2,5.2,6,6
84650000,5.236625,5.236625,6.7325,6.7325
99300000,5.27325,5.27325,7.465,7.465
113950000,5.309875,5.309875,8.1975,8.1975
128600000,5.3465,5.3465,8.93,8.93
143250000,5.383125,5.383125,9.6625,9.6625
157900000,5.4079,5.4079,10.237,10.237
172550000,5.42255,5.42255,10.6765,10.6765
187200000,5.4372,5.4372,11.116,11.116
201850000,5.45185,5.45185,11.5555,11.5555
216500000,5.4665,5.4665,11.995,11.995
231150000,5.48115,5.48115,12.4345,12.4345
245800000,5.4958,5.4958,12.874,12.874
260450000,5.5209,5.5209,13.3135,13.3135
275100000,5.5502,5.5502,13.753,13.753
289750000,5.5795,5.5795,14.1925,14.1925
304400000,5.6088,5.6088,14.632,14.632
319050000,5.6381,5.6381,15.0715,15.0715
333700000,5.6674,5.6674,15.511,15.511
348350000,5.6967,5.6967,15.9505,15.9505
363000000,5.695666667,5.695666667,16.17333333,16.17333333
377650000,5.690783333,5.690783333,16.36866667,16.36866667
392300000,5.6859,5.6859,16.564,16.564
406950000,5.681016667,5.681016667,16.75933333,16.75933333
421600000,5.676133333,5.676133333,16.95466667,16.95466667
436250000,5.67125,5.67125,17.15,17.15
450900000,5.666366667,5.666366667,17.34533333,17.34533333
465550000,5.661483333,5.661483333,17.54066667,17.54066667
480200000,5.6566,5.6566,17.736,17.736
494850000,5.651716667,5.651716667,17.93133333,17.93133333
509500000,5.65,5.65,18.6,18.6
524150000,5.570882644,5.537654151,19.07961425,19.11284274
538800000,5.672445459,5.326007719,19.21749137,19.56392911
553450000,5.500237916,5.371028021,19.62271501,19.75192491
568100000,5.426378596,4.982802359,19.92350228,20.36707852
582750000,4.826668841,4.200119475,20.74436189,21.37091126
597400000,4.86921154,3.645078778,20.91747792,22.14161068
612050000,4.827918044,3.85888601,21.16920509,22.13823713
626700000,5.123582164,5.067501767,21.07899682,21.13507722
641350000,5.653962287,6.414037701,20.74932479,19.98924937
656000000,5.623730488,6.503454757,20.97573139,20.09600712
670650000,5.423665979,6.142440998,21.36763769,20.64886267
685300000,5.431192668,6.014730003,21.54780706,20.96426972
699950000,5.334519032,6.051575165,21.82820642,21.11115028
714600000,5.158210623,5.532936106,22.18443471,21.80970922
729250000,5.279768529,4.557768109,22.23914532,22.96114574
743900000,5.49090216,4.071060771,22.20077411,23.62061549
758550000,5.496601204,4.395284609,22.36446814,23.46578474
773200000,5.478112535,5.050257621,22.54910946,22.97696438
787850000,5.855933333,5.887623048,22.33432254,22.30263283
802500000,5.679482548,5.961033461,22.67080336,22.38925245
817150000,5.499758697,6.012820962,23.0076621,22.49459983
831800000,5.705359274,6.21727931,22.95640414,22.4444841
846450000,5.595427963,6.189245312,23.21798331,22.62416597
861100000,5.521429111,5.861489363,23.44102776,23.10096751
875750000,5.335226724,5.190654641,23.77376129,23.91833337
890400000,4.743874218,4.626590155,24.5092139,24.62649796
905050000,5.056992622,5.174948509,24.33784392,24.21988804
919700000,5.694575157,5.345322763,23.83973366,24.18898606
934350000,5.441846858,5.218230317,24.22973003,24.45334657
949000000,6.236141675,5.315086582,23.57056766,24.49162276
963650000,6.537245927,5.51158439,23.40252568,24.42818722
978300000,6.260819494,5.999295808,23.81000667,24.07153035
992950000,5.758568304,6.277296385,24.44136439,23.92263631
1007600000,5.568873719,6.123547716,24.75827455,24.20360055
1022250000,5.524044798,5.948914375,24.92848268,24.5036131
1036900000,5.610003476,6.314398787,24.9661191,24.26172379
1051550000,6.006847548,6.446071498,24.6911361,24.25191215
1066200000,6.146068795,6.112940673,24.67208986,24.70521798
1080850000,6.438380206,5.568834027,24.49831342,25.3678596
1095500000,6.533395908,5.208671861,24.52023682,25.84496087
1110150000,6.272971673,5.049634687,24.89604668,26.11938367
1124800000,5.902243506,5.203594672,25.38064774,26.07929657
1139450000,5.466731346,5.468518551,25.9285592,25.92677199
1154100000,4.890798034,5.850964904,26.61545588,25.65528901
1168750000,4.305347475,5.619345169,27.31047009,25.9964724
1183400000,4.731813496,5.119783897,26.99220289,26.60423249
1198050000,5.177328303,5.365677678,26.65355566,26.46520628
1212700000,5.602326457,5.641200446,26.33412619,26.2952522
1227350000,6.244051734,5.985616943,25.7967019,26.05513669
1242000000,6.759952857,6.100403519,25.38386415,26.04341349
1256650000,6.934994612,6.284099639,25.31067719,25.96157216
1271300000,6.837577448,6.138899582,25.50876858,26.20744645
1285950000,6.730050945,6.622101275,25.7158158,25.82376547
1300600000,7.030506797,7.087227867,25.51375329,25.45703222
1315250000,6.688708329,7.277731471,25.95284297,25.36381983
1329900000,5.895566551,6.75116223,26.84219826,25.98660258
1344550000,5.865500246,5.387801624,26.96742399,27.44512261
1359200000,5.825225283,5.066620376,27.10182713,27.86043203
1373850000,5.839787645,5.260762512,27.18038381,27.75940894
1388500000,5.882490049,5.966701361,27.22981272,27.14560141
1403150000,6.23252486,6.081756868,26.97094224,27.12171024
1417800000,6.37141215,6.145149741,26.92227238,27.14853479
1432450000,6.581617115,6.376329174,26.80135741,27.00664535
1447100000,6.744789174,6.375036022,26.72656679,27.09631994
1461750000,6.962332366,6.970605247,26.59651478,26.58824189
1476400000,7.083846972,7.232254524,26.56161885,26.4132113
1491050000,7.117852696,7.555268063,26.61337654,26.17596117
1505700000,6.697731849,7.018412992,27.11842225,26.79774111
1520350000,6.165799821,5.79001018,27.73445684,28.11024648
1535000000,5.408496849,5.119836908,28.57505584,28.86371578
