25 Nov 2014
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
30000000.0,-11.1377431946,0,10.9,0
35000000.0,-9.99880740202,0,11.1,0
40000000.0,-9.53896846247,0,11.8,0
45000000.0,-8.81591801352,0,12.1,0
50000000.0,-7.60076820231,0,11.8,0
55000000.0,-6.17291449914,0,11.2,0
60000000.0,-4.21714328135,0,10.0,0
65000000.0,-2.12190115617,0,8.6,0
70000000.0,0.0217925112589,0,7.1,0
75000000.0,1.62105697881,0,6.1,0
80000000.0,1.98163145081,0,6.3,0
85000000.0,1.40821022526,0,7.4,0
90000000.0,0.60468189976,0,8.7,0
95000000.0,-0.325696183249,0,10.1,0
100000000.0,-0.780168289026,0,11.0,0
105000000.0,-1.05638230763,0,11.7,0
110000000.0,-1.15231458586,0,12.2,0
115000000.0,-0.866211481954,0,12.3,0
120000000.0,-0.496543368074,0,12.3,0
125000000.0,0.0580319711349,0,12.1,0
130000000.0,0.598698757111,0,11.9,0
135000000.0,0.926507080874,0,11.9,0
140000000.0,1.44239242454,0,11.7,0
145000000.0,1.44719175567,0,12.0,0
150000000.0,1.14165689209,0,12.6,0
155000000.0,0.72646567438,0,13.3,0
160000000.0,0.302231364092,0,14.0,0
165000000.0,-0.130489404748,0,14.7,0
170000000.0,-0.571189861461,0,15.4,0
175000000.0,-1.1194073153,0,16.2,0
180000000.0,-1.17471818696,0,16.5,0
185000000.0,-1.43673372097,0,17.0,0
190000000.0,-1.10509626997,0,16.9,0
195000000.0,-1.07947606178,0,17.1,0
200000000.0,-0.559568375747,0,16.8,0
