08-May-12,,,,
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
10000000,13.58477483,0,13.04850564,0
12475000,12.75089913,0,10.98120214,0
14950000,12.32304489,0,10.7856135,0
17425000,12.19497829,0,11.62014625,0
19900000,11.58660084,0,10.60693222,0
22375000,13.33442051,0,18.76500171,0
24850000,13.38086578,0,19.90796737,0
27325000,13.25420133,0,20.10654945,0
29800000,14.69898088,0,29.20949301,0
32275000,12.80914596,0,19.49210225,0
34750000,12.97959891,0,20.8982112,0
37225000,13.01727472,0,21.66883989,0
39700000,13.38315643,0,23.98874107,0
42175000,13.86321848,0,27.06117324,0
44650000,12.90447461,0,22.73497517,0
47125000,13.9280944,0,28.39142567,0
49600000,13.54820388,0,26.76671259,0
52075000,13.65857123,0,27.77231328,0
54550000,13.87570275,0,29.36603539,0
57025000,14.69590264,0,34.82556803,0
59500000,14.98681065,0,37.23722446,0
61975000,13.89467088,0,30.58131724,0
64450000,14.58269751,0,35.13010091,0
66925000,14.08837888,0,32.3670371,0
69400000,14.25166388,0,33.66463581,0
71875000,14.35925175,0,34.63663362,0
74350000,13.35858218,0,29.31558486,0
76825000,12.12050171,0,24.22489403,0
79300000,12.2970551,0,25.17638859,0
81775000,11.90307001,0,23.97152964,0
84250000,11.90291845,0,24.2299759,0
86725000,11.04696089,0,21.70900837,0
89200000,10.84294356,0,21.36941247,0
91675000,10.92577281,0,21.84093232,0
94150000,11.7031766,0,24.49831312,0
96625000,10.89589637,0,22.21285859,0
99100000,11.40258051,0,23.95352021,0
101575000,11.82241774,0,25.56967925,0
104050000,12.06558858,0,26.65494593,0
106525000,11.58625889,0,25.17776701,0
109000000,11.7794572,0,26.03271772,0
111475000,12.58425794,0,29.29471813,0
113950000,12.64158616,0,29.7263788,0
116425000,11.71292634,0,26.37609857,0
118900000,10.85123016,0,23.8889425,0
121375000,9.83303737,0,21.52543532,0
123850000,8.673605482,0,19.44610567,0
126325000,7.879851351,0,18.38719612,0
128800000,7.893046787,0,18.57440327,0
131275000,8.13640452,0,19.09453195,0
133750000,9.130387849,0,20.93125466,0
136225000,8.313538351,0,19.68707464,0
138700000,9.060627085,0,21.11647662,0
141175000,9.024748882,0,21.20383341,0
143650000,8.427744779,0,20.32876122,0
146125000,7.415785686,0,19.02991022,0
