17-Nov-14,,,,
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
300000000,-11.54888063,0,31.31113744,0
348500000,-3.751033784,0,24.81492114,0
397000000,-1.643910009,0,23.83955185,0
445500000,3.331235297,0,19.86555058,0
494000000,4.068622803,0,20.02574789,0
542500000,5.083707648,0,19.82411891,0
591000000,4.716088404,0,20.93549293,0
639500000,4.580851686,0,21.755791,0
688000000,5.93455423,0,21.03704625,0
736500000,5.496693983,0,22.06659275,0
785000000,4.056800344,0,24.0604245,0
833500000,4.302312111,0,24.33563168,0
882000000,5.023616635,0,24.10558678,0
930500000,5.112968864,0,24.4811904,0
979000000,6.077386646,0,23.9580989,0
1027500000,5.063139131,0,25.39232919,0
1076000000,4.838849031,0,26.01722811,0
1124500000,5.527070191,0,25.71195072,0
1173000000,5.534699738,0,26.07109222,0
1221500000,5.710384022,0,26.24731712,0
1270000000,4.95361598,0,27.34229015,0
1318500000,5.399760908,0,27.22167349,0
1367000000,4.936005072,0,27.99919693,0
1415500000,5.575328931,0,27.66270025,0
1464000000,5.008560481,0,28.52209276,0
1512500000,4.966878865,0,28.84686051,0
1561000000,5.09860799,0,28.98928178,0
1609500000,5.918399033,0,28.4352523,0
1658000000,5.706497895,0,28.90502434,0
1706500000,5.353144686,0,29.50881288,0
1755000000,5.670622477,0,29.43475165,0
1803500000,5.685562577,0,29.65659207,0
1852000000,5.253610421,0,30.31904094,0
1900500000,4.980930637,0,30.81625855,0
1949000000,4.57402022,0,31.44204827,0
1997500000,5.424055079,0,30.80551239,0
2046000000,5.737727878,0,30.70021642,0
2094500000,5.516965817,0,31.12447319,0
2143000000,5.203887298,0,31.63638783,0
2191500000,4.954080718,0,32.08058049,0
2240000000,5.817359424,0,31.40743265,0
2288500000,5.726357278,0,31.68449277,0
2337000000,5.399807659,0,32.1931983,0
2385500000,5.190180267,0,32.58123986,0
2434000000,5.052611293,0,32.8936319,0
2482500000,5.112443977,0,33.00517288,0
2531000000,6.007461152,0,32.27821346,0
2579500000,5.778932476,0,32.67160988,0
2628000000,5.28831327,0,33.32402566,0
2676500000,5.115139698,0,33.65603697,0
2725000000,5.191845883,0,33.73531596,0
2773500000,5.645698711,0,33.4346964,0
2822000000,5.688475853,0,33.54249605,0
2870500000,5.794705521,0,33.58427721,0
2919000000,5.362101056,0,34.16241255,0
2967500000,5.518437853,0,34.14920841,0
3016000000,5.358309424,0,34.45014903,0
3064500000,4.980223678,0,34.96680055,0
3113000000,5.084552592,0,34.99886153,0
3161500000,5.392783294,0,34.82491214,0
3210000000,5.189654863,0,35.1602775,0
3258500000,5.371268214,0,35.108918,0
3307000000,5.788298147,0,34.82021746,0
3355500000,5.582198056,0,35.15277852,0
3404000000,5.334305913,0,35.52531683,0
3452500000,5.180406628,0,35.80209883,0
3501000000,5.401587964,0,35.70208596,0
3549500000,5.632929575,0,35.59024575,0
3598000000,5.565490338,0,35.77556455,0
3646500000,5.678375915,0,35.77898015,0
3695000000,5.600290706,0,35.97182986,0
3743500000,5.596545283,0,36.08884318,0
3792000000,5.157402396,0,36.63979589,0
3840500000,5.517954284,0,36.38963282,0
3889000000,5.382275048,0,36.63431553,0
3937500000,5.261620115,0,36.86262293,0
3986000000,5.212062891,0,37.01851471,0
4034500000,5.38553285,0,36.95009326,0
4083000000,6.001936084,0,36.43748323,0
4131500000,5.77550608,0,36.76648077,0
4180000000,5.005329171,0,37.63802818,0
4228500000,5.213633153,0,37.52992526,0
4277000000,5.084948531,0,37.75766818,0
4325500000,4.734653288,0,38.20590475,0
4374000000,4.589575753,0,38.44783153,0
4422500000,4.592574943,0,38.5406136,0
4471000000,4.711628707,0,38.5162964,0
4519500000,4.601079603,0,38.72055992,0
4568000000,5.043154228,0,38.37119939,0
4616500000,5.032312289,0,38.47377622,0
4665000000,4.854130972,0,38.7427337,0
4713500000,5.079056405,0,38.60764553,0
4762000000,4.864990925,0,38.91062861,0
4810500000,5.090112859,0,38.77352323,0
4859000000,5.106943256,0,38.84382644,0
4907500000,4.766415984,0,39.27062189,0
4956000000,4.027073726,0,40.09538394,0
5004500000,2.257522226,0,41.94952336,0
5053000000,2.441248149,0,41.84956953,0
5101500000,3.502329216,0,40.87146032,0
5150000000,3.934671701,0,40.52130459,0
5198500000,4.271282959,0,40.26610972,0
5247000000,3.918160456,0,40.69989254,0
5295500000,3.875826119,0,40.82214504,0
5344000000,4.470193873,0,40.30696683,0
5392500000,4.387809906,0,40.46782488,0
5441000000,4.26586431,0,40.66754192,0
5489500000,3.845794501,0,41.164693,0
5538000000,3.38889944,0,41.6979913,0
5586500000,3.666826066,0,41.49580171,0
5635000000,4.220763694,0,41.01694642,0
5683500000,4.467610674,0,40.84453832,0
5732000000,4.764312808,0,40.62164254,0
5780500000,4.809183069,0,40.64995675,0
5829000000,4.780474077,0,40.75123874,0
5877500000,4.965645286,0,40.63803918,0
5926000000,5.031393413,0,40.64367124,0
5974500000,4.775763353,0,40.97009967,0
6023000000,4.370653358,0,41.44543562,0
6071500000,4.370243058,0,41.51550864,0
6120000000,4.310544133,0,41.64431602,0
6168500000,4.13203135,0,41.89139174,0
6217000000,3.941129278,0,42.15031978,0
6265500000,3.781601811,0,42.37734459,0
6314000000,4.087419784,0,42.13850348,0
6362500000,4.192549081,0,42.09983854,0
6411000000,4.314694551,0,42.0436527,0
6459500000,4.518747126,0,41.90506264,0
6508000000,4.738230423,0,41.75055217,0
6556500000,4.98849582,0,41.5647772,0
6605000000,5.12824088,0,41.48904727,0
6653500000,4.938681538,0,41.7421534,0
6702000000,5.00020655,0,41.74371363,0
6750500000,4.712090076,0,42.09446047,0
6799000000,4.816289939,0,42.0524426,0
6847500000,4.549250954,0,42.38122158,0
6896000000,4.457536601,0,42.53424017,0
6944500000,4.14221333,0,42.91043803,0
6993000000,3.998968703,0,43.11413357,0
7041500000,4.21951535,0,42.95362003,0
7090000000,4.537938585,0,42.69481783,0
7138500000,4.381991886,0,42.9099791,0
7187000000,4.45698032,0,42.89380429,0
7235500000,4.68171115,0,42.72749152,0
7284000000,4.731299804,0,42.73593065,0
7332500000,4.700231851,0,42.82464129,0
7381000000,4.492364819,0,43.089771,0
7429500000,5.055663627,0,42.58335982,0
7478000000,4.699177198,0,42.99636373,0
7526500000,4.654955916,0,43.09673711,0
7575000000,4.182452673,0,43.62503178,0
7623500000,4.355026754,0,43.50789305,0
7672000000,4.565843599,0,43.35216,0
7720500000,3.274767309,0,44.69797295,0
7769000000,2.559767719,0,45.46736642,0
7817500000,3.114587289,0,44.96660222,0
7866000000,2.58022884,0,45.55468171,0
7914500000,2.90813408,0,45.2801673,0
7963000000,2.518695726,0,45.7226703,0
8011500000,2.060961367,0,46.23314708,0
8060000000,2.890674177,0,45.45585837,0
8108500000,2.85345104,0,45.54519109,0
8157000000,3.05412178,0,45.39631918,0
8205500000,3.189859086,0,45.31207362,0
8254000000,2.792157491,0,45.76096351,0
8302500000,2.473395644,0,46.13061375,0
8351000000,2.209266769,0,46.44533462,0
8399500000,2.17556853,0,46.52933187,0
8448000000,3.261497686,0,45.49341213,0
8496500000,2.092431341,0,46.7122016,0
8545000000,2.387642112,0,46.46643094,0
8593500000,2.489730935,0,46.4135024,0
8642000000,1.791337994,0,47.16077896,0
8690500000,1.681438815,0,47.31928817,0
8739000000,1.111684789,0,47.93738171,0
8787500000,0.442712412,0,48.65442606,0
8836000000,0.216771237,0,48.92817462,0
8884500000,-0.060419601,0,49.25291115,0
8933000000,-1.778723995,0,51.01850239,0
8981500000,-2.282313446,0,51.56912264,0
9030000000,-2.603064673,0,51.93665139,0
9078500000,-3.161323618,0,52.54143729,0
9127000000,-2.321937975,0,51.7483307,0
9175500000,-1.945619766,0,51.41804627,0
