17-Nov-14,,,,
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
70000000,-8.070058794,0,15.23340469,0
84650000,-6.652960105,0,15.46688444,0
99300000,-15.00023562,0,25.20060568,0
113950000,-11.54454669,0,22.94021837,0
128600000,-10.55739645,0,23.00360091,0
143250000,-6.253748242,0,19.63702595,0
157900000,-12.02001112,0,26.24903882,0
172550000,-12.71693855,0,27.71662291,0
187200000,-10.20557535,0,25.91307733,0
201850000,-12.5204363,0,28.88239647,0
216500000,-11.83270953,0,28.80325263,0
231150000,-11.79919779,0,29.33846083,0
245800000,-8.251369671,0,26.32439233,0
260450000,-7.621834558,0,26.19770688,0
275100000,-10.63145229,0,29.68264919,0
289750000,-8.209442972,0,27.71129696,0
304400000,-6.095722032,0,26.02600008,0
319050000,-4.576061613,0,24.91462168,0
333700000,-3.631129358,0,24.35963858,0
348350000,-2.024684946,0,23.12638633,0
363000000,-1.493857856,0,22.95337545,0
377650000,-3.107395403,0,24.91057027,0
392300000,0.483621999,0,21.65012925,0
406950000,2.239045109,0,20.21316104,0
421600000,2.820701879,0,19.93869526,0
436250000,2.720078505,0,20.33601539,0
450900000,4.00224362,0,19.34074618,0
465550000,4.941601759,0,18.67910995,0
480200000,5.254875131,0,18.63495307,0
494850000,4.335105959,0,19.81575062,0
509500000,5.20806931,0,19.19619955,0
524150000,5.431534189,0,19.2189627,0
538800000,5.294031531,0,19.5959053,0
553450000,4.821433606,0,20.30151932,0
568100000,4.071821227,0,21.27805965,0
582750000,4.196164264,0,21.37486647,0
597400000,4.304490696,0,21.48219876,0
612050000,4.920260396,0,21.07686274,0
626700000,5.089187517,0,21.11339147,0
641350000,3.785008494,0,22.61827858,0
656000000,4.99295998,0,21.6065019,0
670650000,5.43892668,0,21.35237699,0
685300000,5.632867559,0,21.34613217,0
699950000,5.404332015,0,21.75839343,0
714600000,4.915016765,0,22.42762856,0
729250000,4.545516868,0,22.97339698,0
743900000,5.522865608,0,22.16881066,0
758550000,5.387856043,0,22.4732133,0
773200000,5.203709208,0,22.82351279,0
787850000,5.204094519,0,22.98616136,0
802500000,4.995533576,0,23.35475234,0
817150000,4.049033449,0,24.45838734,0
831800000,4.687633521,0,23.97412989,0
846450000,5.339740571,0,23.47367071,0
861100000,5.295765919,0,23.66669096,0
875750000,5.12997615,0,23.97901186,0
890400000,5.02301305,0,24.23007507,0
905050000,5.078423903,0,24.31641264,0
919700000,4.764275508,0,24.77003331,0
934350000,4.436179236,0,25.23539765,0
949000000,5.189774936,0,24.6169344,0
963650000,5.112582582,0,24.82718902,0
978300000,4.80088322,0,25.26994294,0
992950000,4.5938867,0,25.60604599,0
1007600000,4.580473057,0,25.74667521,0
1022250000,4.626266283,0,25.82626119,0
1036900000,4.447181041,0,26.12894154,0
1051550000,3.777775163,0,26.92020848,0
1066200000,4.955662848,0,25.86249581,0
1080850000,5.059296723,0,25.87739691,0
1095500000,4.84766585,0,26.20596688,0
1110150000,4.701525186,0,26.46749317,0
1124800000,4.744687068,0,26.53820418,0
1139450000,4.855541614,0,26.53974893,0
1154100000,4.751387955,0,26.75486596,0
1168750000,4.668805534,0,26.94701203,0
1183400000,4.66891346,0,27.05510293,0
1198050000,5.113557625,0,26.71732634,0
1212700000,5.092712958,0,26.84373968,0
1227350000,4.985122298,0,27.05563133,0
1242000000,4.593724995,0,27.55009201,0
1256650000,4.260576906,0,27.9850949,0
1271300000,4.24434324,0,28.10200279,0
1285950000,4.451949393,0,27.99391735,0
1300600000,4.670160524,0,27.87409956,0
1315250000,4.618113552,0,28.02343775,0
1329900000,4.339552349,0,28.39821246,0
1344550000,4.462323056,0,28.37060118,0
1359200000,4.901479714,0,28.02557269,0
1373850000,4.968681244,0,28.05149021,0
1388500000,5.066051422,0,28.04625135,0
1403150000,5.294817806,0,27.9086493,0
1417800000,5.094355392,0,28.19932914,0
1432450000,4.752240606,0,28.63073392,0
1447100000,4.520020591,0,28.95133537,0
1461750000,4.488258482,0,29.07058866,0
1476400000,4.615340045,0,29.03012578,0
1491050000,4.441082864,0,29.29014637,0
1505700000,4.155779146,0,29.66037495,0
1520350000,4.514343587,0,29.38591307,0
1535000000,4.682760373,0,29.30079231,0
1549650000,4.767073225,0,29.29898428,0
1564300000,4.899615646,0,29.24817035,0
1578950000,4.919411222,0,29.30934142,0
1593600000,4.984713881,0,29.32425763,0
1608250000,4.93944782,0,29.44900847,0
1622900000,4.790308542,0,29.67691175,0
1637550000,4.661236012,0,29.88404047,0
1652200000,4.547673399,0,30.07496405,0
1666850000,4.468071598,0,30.23124388,0
1681500000,4.370816578,0,30.40450595,0
1696150000,4.323184298,0,30.52748593,0
1710800000,4.350365167,0,30.57500476,0
1725450000,4.656286234,0,30.34314643,0
1740100000,4.642382566,0,30.43048667,0
1754750000,4.647357628,0,30.49833248,0
1769400000,4.774626615,0,30.44327893,0
1784050000,4.894098215,0,30.39542731,0
1798700000,4.844126145,0,30.51643364,0
1813350000,4.499956041,0,30.93106178,0
1828000000,4.302942002,0,31.19796692,0
1842650000,4.625791827,0,30.94445029,0
1857300000,4.842123037,0,30.79690323,0
1871950000,4.988096514,0,30.71917347,0
1886600000,4.939301348,0,30.83568034,0
1901250000,4.706620155,0,31.13554948,0
1915900000,4.839996679,0,31.06884516,0
1930550000,4.63528374,0,31.33972243,0
1945200000,4.476142268,0,31.56452804,0
1959850000,4.570534968,0,31.53530679,0
1974500000,4.743483634,0,31.42704422,0
1989150000,4.894023422,0,31.34071235,0
2003800000,4.895837238,0,31.4026353,0
2018450000,4.899062766,0,31.46268224,0
2033100000,5.074626416,0,31.34993348,0
2047750000,5.109014777,0,31.37790901,0
2062400000,5.004581223,0,31.54426187,0
2077050000,4.896646147,0,31.71367797,0
2091700000,4.779972507,0,31.89140051,0
2106350000,4.666804362,0,32.06519147,0
2121000000,4.704111002,0,32.08808746,0
2135650000,4.647612369,0,32.20437432,0
2150300000,4.634585719,0,32.27678047,0
2164950000,4.478517868,0,32.49182464,0
2179600000,4.159243941,0,32.86967713,0
2194250000,3.972165878,0,33.11494135,0
2208900000,4.232260149,0,32.91264605,0
2223550000,4.626431167,0,32.57589192,0
2238200000,4.863119955,0,32.39624296,0
2252850000,4.994629748,0,32.32140087,0
2267500000,5.046554262,0,32.32577674,0
2282150000,5.066944976,0,32.36132384,0
2296800000,4.952342937,0,32.53150574,0
2311450000,4.87857801,0,32.66049715,0
2326100000,4.820711803,0,32.77324091,0
2340750000,4.810244797,0,32.83824093,0
2355400000,4.682448705,0,33.0202298,0
2370050000,4.637811173,0,33.11872408,0
2384700000,4.665779058,0,33.14428107,0
2399350000,4.769186401,0,33.09407078,0
2414000000,4.626736275,0,33.28939413,0
2428650000,4.515806971,0,33.45287676,0
2443300000,4.437431166,0,33.58348982,0
2457950000,4.227848379,0,33.84499759,0
2472600000,4.299216641,0,33.82524575,0
2487250000,4.480434754,0,33.69533913,0
2501900000,4.5668281,0,33.65995593,0
2516550000,4.761317817,0,33.51617855,0
2531200000,5.001799382,0,33.32611495,0
2545850000,5.167094021,0,33.2109473,0
2560500000,5.107976712,0,33.31990398,0
2575150000,4.969034691,0,33.50840103,0
2589800000,4.979445777,0,33.54726384,0
2604450000,4.92090825,0,33.65479733,0
2619100000,4.584329698,0,34.040097,0
2633750000,4.513169744,0,34.15970632,0
2648400000,4.682147775,0,34.0389089,0
2663050000,4.798776555,0,33.97019495,0
2677700000,4.772866869,0,34.04375659,0
2692350000,4.733656696,0,34.13035873,0
2707000000,4.663145889,0,34.24800432,0
2721650000,4.598882817,0,34.35914777,0
2736300000,4.483413286,0,34.52124601,0
2750950000,4.399295237,0,34.65174379,0
2765600000,4.49047357,0,34.60669885,0
2780250000,4.36996101,0,34.77310107,0
2794900000,4.310922118,0,34.87778845,0
2809550000,4.229015092,0,35.00510531,0
2824200000,4.2197257,0,35.05956837,0
2838850000,4.181853464,0,35.14238054,0
2853500000,4.325353374,0,35.04358926,0
2868150000,4.311765517,0,35.10165678,0
2882800000,4.743624524,0,34.71405083,0
2897450000,4.989013257,0,34.51269084,0
2912100000,5.047433313,0,34.49807747,0
2926750000,4.874713189,0,34.71438444,0
2941400000,4.985023105,0,34.64744375,0
2956050000,4.809451473,0,34.86616913,0
2970700000,4.559383093,0,35.15917792,0
2985350000,4.405062913,0,35.35622727,0
3000000000,4.367181275,0,35.43662891,0
