19 November 2013
Frequency [Hz],V_Gain 1m [dB],H_Gain 1m [dB],V_AF 1m [dB/m],H_AF 1m [dB/m],V_Gain 10m [dB],H_Gain 10m [dB],V_AF 10m [dB/m],H_AF 10m [dB/m]
200000000.0,7.7815125038364368,0,20.0,0,6.9897000433601884,0,20.8278537031645,0
300000000.0,8.4509804001425675,0,21.938200260161128,0,9.0308998699194358,0,21.213956807072236,0
400000000.0,9.2427928606188168,0,22.11020369539948,0,10.0,0,21.583624920952499,0
500000000.0,9.4448267215016877,0,24.349678884278127,0,9.8677173426624485,0,21.938200260161128,0
600000000.0,9.3449845124356763,0,24.860760973725888,0,10.0,0,23.521825181113627,0
700000000.0,9.6378782734555521,0,24.959465327236131,0,10.41392685158225,0,24.082399653118497,0
800000000.0,9.6848294855393515,0,25.008400046177883,0,10.606978403536118,0,24.349678884278127,0
900000000.0,9.1907809237607392,0,26.020599913279625,0,10.606978403536118,0,24.860760973725888,0
1000000000.0,8.8081359228079137,0,27.004960366683257,0,10.107238653917731,0,26.020599913279625,0
1100000000.0,9.0308998699194358,0,27.04365036222725,0,10.41392685158225,0,26.020599913279625,0
1200000000.0,9.5424250943932485,0,26.966097260963213,0,10.791812460476249,0,26.020599913279625,0
1300000000.0,9.0308998699194358,0,27.234556720351858,0,10.41392685158225,0,26.749185225813122,0
1400000000.0,9.0308998699194358,0,27.958800173440753,0,10.211892990699381,0,27.04365036222725,0
1500000000.0,9.5424250943932485,0,27.958800173440753,0,10.41392685158225,0,27.120517143862454,0
1600000000.0,9.5424250943932485,0,27.958800173440753,0,10.492180226701816,0,27.234556720351858,0
1700000000.0,9.8677173426624485,0,28.028010815630886,0,10.314084642516242,0,27.60422483423212,0
1800000000.0,10.0,0,27.958800173440753,0,10.41392685158225,0,27.871504065391754,0
1900000000.0,9.8227123303956851,0,28.464917478736158,0,10.511525224473813,0,27.923986941914727,0
2000000000.0,10.0,0,28.627275283179749,0,10.755469613925309,0,27.958800173440753,0
