21 November 2013,,,,
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
70000000,5.2,5.2,6,6
84650000,5.236625,5.236625,6.7325,6.7325
99300000,5.27325,5.27325,7.465,7.465
113950000,5.309875,5.309875,8.1975,8.1975
128600000,5.3465,5.3465,8.93,8.93
143250000,5.383125,5.383125,9.6625,9.6625
157900000,5.4079,5.4079,10.237,10.237
172550000,5.42255,5.42255,10.6765,10.6765
187200000,5.4372,5.4372,11.116,11.116
201850000,5.45185,5.45185,11.5555,11.5555
216500000,5.4665,5.4665,11.995,11.995
231150000,5.48115,5.48115,12.4345,12.4345
245800000,5.4958,5.4958,12.874,12.874
260450000,5.5209,5.5209,13.3135,13.3135
275100000,5.5502,5.5502,13.753,13.753
289750000,5.5795,5.5795,14.1925,14.1925
304400000,5.6088,5.6088,14.632,14.632
319050000,5.6381,5.6381,15.0715,15.0715
333700000,5.6674,5.6674,15.511,15.511
348350000,5.6967,5.6967,15.9505,15.9505
363000000,5.6956666667,5.6956666667,16.1733333333,16.1733333333
377650000,5.6907833333,5.6907833333,16.3686666667,16.3686666667
392300000,5.6859,5.6859,16.564,16.564
406950000,5.6810166667,5.6810166667,16.7593333333,16.7593333333
421600000,5.6761333333,5.6761333333,16.9546666667,16.9546666667
436250000,5.67125,5.67125,17.15,17.15
450900000,5.6663666667,5.6663666667,17.3453333333,17.3453333333
465550000,5.6614833333,5.6614833333,17.5406666667,17.5406666667
480200000,5.6566,5.6566,17.736,17.736
494850000,5.6517166667,5.6517166667,17.9313333333,17.9313333333
509500000,5.65,5.65,18.6,18.6
524150000,5.5708826436,5.5376541506,19.0796142501,19.1128427431
538800000,5.6724454585,5.3260077193,19.2174913735,19.5639291128
553450000,5.5002379158,5.3710280212,19.6227150109,19.7519249055
568100000,5.426378596,4.9828023594,19.9235022806,20.3670785171
582750000,4.8266688411,4.2001194751,20.7443618937,21.3709112597
597400000,4.8692115397,3.6450787781,20.9174779166,22.1416106783
612050000,4.827918044,3.8588860101,21.1692050924,22.1382371264
626700000,5.1235821637,5.0675017669,21.0789968213,21.1350772181
641350000,5.6539622868,6.4140377012,20.7493247858,19.9892493713
656000000,5.6237304876,6.503454757,20.975731391,20.0960071215
670650000,5.4236659794,6.142440998,21.3676376901,20.6488626715
685300000,5.4311926675,6.0147300032,21.5478070599,20.9642697242
