Frequency [MHz],Feq (Hz),Gain[dBi],AF
20,20000000,-57,53.24059991
23.7375,23737500,-53.9280446,51.65674415
27.475,27475000,-50.92383934,49.92259336
31.2125,31212500,-48.03587566,48.14244676
34.95,34950000,-45.31264497,46.40158857
38.6875,38687500,-42.80263871,44.77405204
42.425,42425000,-40.5543483,43.32678532
46.1625,46162500,-38.61626517,42.12205159
49.9,49900000,-37.03688075,41.21889166
53.6375,53637500,-35.70909291,40.51846347
57.375,57375000,-34.47325358,39.86770755
61.1125,61112500,-33.32331903,39.26592004
64.85,64850000,-32.25335664,38.71155625
68.5875,68587500,-31.25743379,38.20233325
72.325,72325000,-30.32961785,37.7353867
76.0625,76062500,-29.4639762,37.30738811
79.8,79800000,-28.65457622,36.91463404
83.5375,83537500,-27.89548528,36.55311476
87.275,87275000,-27.18077076,36.21856791
91.0125,91012500,-26.50450004,35.90652092
94.75,94750000,-25.8607405,35.61232487
98.4875,98487500,-25.24355951,35.33118178
102.225,102225000,-24.65128198,35.06242437
105.9625,105962500,-24.09642735,34.81947127
109.7,109700000,-23.57652201,34.60065456
113.4375,113437500,-23.08716685,34.40229978
117.175,117175000,-22.62396274,34.22066198
120.9125,120912500,-22.18251056,34.05193458
124.65,124650000,-21.75841119,33.89225685
128.3875,128387500,-21.3472655,33.73772035
132.125,132125000,-20.94467438,33.58437439
135.8625,135862500,-20.5462387,33.42823073
139.6,139600000,-20.14755933,33.2652677
143.3375,143337500,-19.74423716,33.09143367
147.075,147075000,-19.33187307,32.90265021
150.8125,150812500,-18.90653872,32.6952855
154.55,154550000,-18.47826184,32.47964203
158.2875,158287500,-18.05265345,32.26158585
162.025,162025000,-17.62966747,32.04130807
165.7625,165762500,-17.20925782,31.81898358
169.5,169500000,-16.79137842,31.59477247
173.2375,173237500,-16.3759832,31.36882135
176.975,176975000,-15.96302606,31.14126448
180.7125,180712500,-15.55246094,30.91222482
184.45,184450000,-15.14424176,30.68181495
188.1875,188187500,-14.73832243,30.45013789
191.925,191925000,-14.33465688,30.21728787
195.6625,195662500,-13.93319903,29.98335099
199.4,199400000,-13.5339028,29.74840588
203.1375,203137500,-13.12902398,29.50482604
206.875,206875000,-12.70605046,29.24021068
210.6125,210612500,-12.26713046,28.95681333
214.35,214350000,-11.81470441,28.65717417
218.0875,218087500,-11.35121273,28.34382821
221.825,221825000,-10.87909584,28.01930565
225.5625,225562500,-10.40079417,27.68613216
229.3,229300000,-9.918748138,27.34682923
233.0375,233037500,-9.435398168,27.00391442
236.775,236775000,-8.953184686,26.65990159
240.5125,240512500,-8.474548115,26.31730117
244.25,244250000,-8.001928879,25.97862033
247.9875,247987500,-7.537767401,25.64636321
251.725,251725000,-7.084504106,25.3230311
255.4625,255462500,-6.644579417,25.01112258
259.2,259200000,-6.220433758,24.7131337
262.9375,262937500,-5.814507553,24.43155814
266.675,266675000,-5.429241226,24.1688873
270.4125,270412500,-5.067075199,23.92761046
274.15,274150000,-4.730449898,23.7102149
277.8875,277887500,-4.421805745,23.51918598
281.625,281625000,-4.143583165,23.35700726
285.3625,285362500,-3.898222581,23.2261606
289.1,289100000,-3.688164417,23.12912625
292.8375,292837500,-3.515849097,23.06838291
296.575,296575000,-3.383717044,23.04640783
300.3125,300312500,-3.294072189,23.06554038
304.05,304050000,-3.226284198,23.10518435
307.7875,307787500,-3.163960694,23.14898026
311.525,311525000,-3.10670856,23.19656665
315.2625,315262500,-3.054134682,23.24758099
319,319000000,-3.005845945,23.30165961
322.7375,322737500,-2.961449232,23.35843784
326.475,326475000,-2.920551429,23.41755004
330.2125,330212500,-2.88275942,23.4786296
333.95,333950000,-2.847680089,23.54130905
337.6875,337687500,-2.814920322,23.60522002
341.425,341425000,-2.784087003,23.66999336
345.1625,345162500,-2.754787015,23.73525913
348.9,348900000,-2.726627245,23.80064663
352.6375,352637500,-2.699214577,23.86578446
356.375,356375000,-2.672155894,23.9303005
360.1125,360112500,-2.645058082,23.99382201
363.85,363850000,-2.617528026,24.05597561
367.5875,367587500,-2.58917261,24.1163873
371.325,371325000,-2.559598717,24.17468251
375.0625,375062500,-2.528413234,24.23048612
378.8,378800000,-2.495223045,24.28342245
382.5375,382537500,-2.459635034,24.33311534
386.275,386275000,-2.421256086,24.37918811
390.0125,390012500,-2.379693085,24.42126361
393.75,393750000,-2.334552916,24.45896425
397.4875,397487500,-2.285442463,24.49191198
401.225,401225000,-2.231603139,24.51936285
404.9625,404962500,-2.168155055,24.53645123
408.7,408700000,-2.094472137,24.54256489
412.4375,412437500,-2.011571997,24.53873491
416.175,416175000,-1.920472245,24.52599201
419.9125,419912500,-1.822190491,24.50536655
423.65,423650000,-1.717744348,24.47788856
427.3875,427387500,-1.608151424,24.44458774
431.125,431125000,-1.494429331,24.40649348
434.8625,434862500,-1.37759568,24.36463485
438.6,438600000,-1.258668081,24.32004063
442.3375,442337500,-1.138664145,24.27373933
446.075,446075000,-1.018601483,24.22675917
449.8125,449812500,-0.899497705,24.18012811
453.55,453550000,-0.782370421,24.13487385
457.2875,457287500,-0.668237244,24.09202384
461.025,461025000,-0.558115783,24.05260531
464.7625,464762500,-0.453023648,24.01764523
468.5,468500000,-0.353978452,23.98817036
472.2375,472237500,-0.261997803,23.96520723
475.975,475975000,-0.178099314,23.94978217
479.7125,479712500,-0.103300595,23.9429213
483.45,483450000,-0.038619256,23.94565055
487.1875,487187500,0.014927092,23.95899565
490.925,490925000,0.056320838,23.98398214
494.6625,494662500,0.084544372,24.02163539
498.4,498400000,0.098580082,24.07298059
502.1375,502137500,0.094595441,24.14185768
505.875,505875000,0.060203484,24.24066086
509.6125,509612500,-0.003774615,24.36857606
513.35,513350000,-0.094832837,24.52310416
517.0875,517087500,-0.210465158,24.70174594
520.825,520825000,-0.348165558,24.90200201
524.5625,524562500,-0.505428014,25.12137282
528.3,528300000,-0.679746504,25.35735872
532.0375,532037500,-0.868615007,25.60745989
535.775,535775000,-1.069527501,25.8691764
539.5125,539512500,-1.279977964,26.14000819
543.25,543250000,-1.497460375,26.41745507
546.9875,546987500,-1.719468711,26.69901675
550.725,550725000,-1.943496951,26.98219278
554.4625,554462500,-2.167039074,27.26448265
558.2,558200000,-2.387589056,27.5433857
561.9375,561937500,-2.602640877,27.81640118
565.675,565675000,-2.809688515,28.08102823
569.4125,569412500,-3.006225947,28.33476588
573.15,573150000,-3.189747153,28.57511309
576.8875,576887500,-3.35774611,28.79956869
580.625,580625000,-3.507716797,29.00563142
584.3625,584362500,-3.637153191,29.19079996
588.1,588100000,-3.743549272,29.35257286
591.8375,591837500,-3.824399017,29.48844861
595.575,595575000,-3.877196404,29.59592559
599.3125,599312500,-3.899435412,29.67250213
603.05,603050000,-3.892891588,29.71995802
606.7875,606787500,-3.865691324,29.74642384
610.525,610525000,-3.819657762,29.75372681
614.2625,614262500,-3.756419816,29.74349988
618,618000000,-3.6776064,29.7173759
621.7375,621737500,-3.584846428,29.67698768
625.475,625475000,-3.479768814,29.62396793
629.2125,629212500,-3.364002472,29.55994931
632.95,632950000,-3.239176316,29.4865644
636.6875,636687500,-3.106919262,29.40544573
640.425,640425000,-2.968860222,29.31822576
644.1625,644162500,-2.826628111,29.22653688
647.9,647900000,-2.681851843,29.13201144
651.6375,651637500,-2.536160332,29.03628171
655.375,655375000,-2.391182493,28.94097991
659.1125,659112500,-2.248547239,28.8477382
662.85,662850000,-2.109883485,28.7581887
666.5875,666587500,-1.976820145,28.67396345
670.325,670325000,-1.850986134,28.59669447
674.0625,674062500,-1.734010364,28.5280137
677.8,677800000,-1.62752175,28.46955304
681.5375,681537500,-1.533149208,28.42294434
685.275,685275000,-1.452521649,28.38981942
689.0125,689012500,-1.38726799,28.37181001
692.75,692750000,-1.339017144,28.37054783
696.4875,696487500,-1.309398025,28.38766455
700.225,700225000,-1.300015165,28.42476741
703.9625,703962500,-1.304585988,28.47557649
707.7,707700000,-1.316873934,28.53385785
711.4375,711437500,-1.336252497,28.59898756
715.175,715175000,-1.362095171,28.67034166
718.9125,718912500,-1.39377545,28.74729615
722.65,722650000,-1.430666831,28.82922697
726.3875,726387500,-1.472142806,28.91551005
730.125,730125000,-1.517576871,29.00552126
733.8625,733862500,-1.56634252,29.09863644
737.6,737600000,-1.617813248,29.19423141
741.3375,741337500,-1.671362549,29.29168193
745.075,745075000,-1.726363918,29.39036375
748.8125,748812500,-1.782190849,29.48965256
752.55,752550000,-1.838216837,29.58892404
756.2875,756287500,-1.893815377,29.68755382
760.025,760025000,-1.948359962,29.78491752
763.7625,763762500,-2.001224089,29.88039071
767.5,767500000,-2.05178125,29.97334893
771.2375,771237500,-2.099404941,30.0631677
774.975,774975000,-2.143468656,30.14922251
778.7125,778712500,-2.18334589,30.23088881
782.45,782450000,-2.218410138,30.30754204
786.1875,786187500,-2.248034893,30.37855758
789.925,789925000,-2.271593651,30.44331083
793.6625,793662500,-2.288459906,30.50117712
797.4,797400000,-2.298007152,30.55153178
801.1375,801137500,-2.299571796,30.59371301
804.875,804875000,-2.29229311,30.62686187
808.6125,808612500,-2.276439307,30.65124832
812.35,812350000,-2.252567861,30.66743156
816.0875,816087500,-2.221236245,30.67597076
819.825,819825000,-2.183001934,30.67742509
823.5625,823562500,-2.138422401,30.67235367
827.3,827300000,-2.08805512,30.66131561
831.0375,831037500,-2.032457565,30.64486999
834.775,834775000,-1.972187209,30.62357589
838.5125,838512500,-1.907801528,30.59799235
842.25,842250000,-1.839857993,30.56867839
845.9875,845987500,-1.76891408,30.536193
849.725,849725000,-1.695527262,30.50109518
853.4625,853462500,-1.620255013,30.46394388
857.2,857200000,-1.543654806,30.42529805
860.9375,860937500,-1.466284116,30.38571661
864.675,864675000,-1.388700416,30.34575847
868.4125,868412500,-1.311461181,30.3059825
872.15,872150000,-1.235123883,30.26694759
875.8875,875887500,-1.160245998,30.22921257
879.625,879625000,-1.087384998,30.19333628
883.3625,883362500,-1.017098357,30.15987753
887.1,887100000,-0.94994355,30.12939513
890.8375,890837500,-0.88647805,30.10244786
894.575,894575000,-0.82725933,30.07959447
898.3125,898312500,-0.772844866,30.06139372
902.05,902050000,-0.722600756,30.04721297
905.7875,905787500,-0.671062843,30.0315893
909.525,909525000,-0.617739225,30.01403204
913.2625,913262500,-0.562936775,29.99484928
917,917000000,-0.506962365,29.97434908
920.7375,920737500,-0.450122865,29.9528395
924.475,924475000,-0.392725148,29.93062857
928.2125,928212500,-0.335076084,29.90802434
931.95,931950000,-0.277482547,29.8853348
935.6875,935687500,-0.220251407,29.86286796
939.425,939425000,-0.163689536,29.8409318
943.1625,943162500,-0.108103805,29.8198343
946.9,946900000,-0.053801087,29.79988342
950.6375,950637500,-0.001088253,29.78138709
954.375,954375000,0.049727825,29.76465326
958.1125,958112500,0.098340276,29.74998985
961.85,961850000,0.144442228,29.73770476
965.5875,965587500,0.18772681,29.72810589
969.325,969325000,0.227887149,29.72150113
973.0625,973062500,0.264616375,29.71819835
976.8,976800000,0.297607615,29.7185054
980.5375,980537500,0.326553997,29.72273016
984.275,984275000,0.351148651,29.73118044
988.0125,988012500,0.371084704,29.74416408
991.75,991750000,0.386055286,29.7619889
995.4875,995487500,0.395753523,29.7849627
999.225,999225000,0.399872545,29.81339328
1002.9625,1002962500,0.399277342,29.84641657
1006.7,1006700000,0.396397667,29.8816037
1010.4375,1010437500,0.391485684,29.91870343
1014.175,1014175000,0.384716815,29.9575412
1017.9125,1017912500,0.37626648,29.99794247
1021.65,1021650000,0.366310102,30.03973269
1025.3875,1025387500,0.355023101,30.08273728
1029.125,1029125000,0.3425809,30.12678167
1032.8625,1032862500,0.32915892,30.17169128
1036.6,1036600000,0.314932582,30.21729151
1040.3375,1040337500,0.300077308,30.26340776
1044.075,1044075000,0.28476852,30.30986542
1047.8125,1047812500,0.269181638,30.35648986
1051.55,1051550000,0.253492085,30.40310647
1055.2875,1055287500,0.237875283,30.4495406
1059.025,1059025000,0.222506651,30.4956176
1062.7625,1062762500,0.207561613,30.54116282
1066.5,1066500000,0.19321559,30.58600161
1070.2375,1070237500,0.179644003,30.62995928
1073.975,1073975000,0.167022273,30.67286117
1077.7125,1077712500,0.155525823,30.71453258
1081.45,1081450000,0.145330073,30.75479883
1085.1875,1085187500,0.136610446,30.79348521
1088.925,1088925000,0.129542362,30.83041701
1092.6625,1092662500,0.124301244,30.86541952
1096.4,1096400000,0.121062513,30.89831802
1100.1375,1100137500,0.12000136,30.92893801
1103.875,1103875000,0.121053196,30.95734476
1107.6125,1107612500,0.123960661,30.98379631
1111.35,1111350000,0.128573395,31.00844368
1115.0875,1115087500,0.134741036,31.03143791
1118.825,1118825000,0.142313222,31.05293002
1122.5625,1122562500,0.151139592,31.07307101
1126.3,1126300000,0.161069785,31.0920119
1130.0375,1130037500,0.17195344,31.10990367
1133.775,1133775000,0.183640196,31.12689733
1137.5125,1137512500,0.19597969,31.14314387
1141.25,1141250000,0.208821563,31.15879425
1144.9875,1144987500,0.222015451,31.17399946
1148.725,1148725000,0.235410995,31.18891046
1152.4625,1152462500,0.248857832,31.20367822
1156.2,1156200000,0.262205603,31.2184537
1159.9375,1159937500,0.275303944,31.23338784
1163.675,1163675000,0.288002495,31.24863159
1167.4125,1167412500,0.300150895,31.26433589
1171.15,1171150000,0.311598782,31.28065167
1174.8875,1174887500,0.322195795,31.29772987
1178.625,1178625000,0.331791573,31.3157214
1182.3625,1182362500,0.340235754,31.33477719
1186.1,1186100000,0.347377977,31.35504814
1189.8375,1189837500,0.353067881,31.37668517
1193.575,1193575000,0.357155104,31.39983917
1197.3125,1197312500,0.359489286,31.42466105
1201.05,1201050000,0.359619016,31.45160274
1204.7875,1204787500,0.35227836,31.4859307
1208.525,1208525000,0.336146261,31.52896652
1212.2625,1212262500,0.311949466,31.57998395
